"screen_name","lat","lon"
"NYTupelo7",40.8227345,-72.8625328
"carbonmotion",33.97866994,-118.24790955
"NYTupelo7",40.822703,-72.8624785
"mesuzyb",47.6064,-122.331
"DarionBonnet",36.5830726,-121.8785109
"AppaloosaGuy",37.47472222,-84.51194444
"Captain_Strongo",33.17438302,-87.49779451
"ValerieCorey1",38.3553865,-122.7633931
"8amaich1",35.66282887,139.70053174
"Mj_McSlay",38.95706392,-94.7266803
"AppaloosaGuy",37.47472222,-84.51194444
"alexrea98",40.48747553,-74.81356449
"AppaloosaGuy",37.47472222,-84.51194444
"xhenis90",42.35307321,-71.05655145
"GotGOP2016",34.021675,-117.5435583
"trendinaliaMY",3.9451,114.4017
"AppaloosaGuy",37.47472222,-84.51194444
"cathyAnnSmith2",33.84351278,-84.63895449
"luckyharms74",33.99083,-118.45917
"AppaloosaGuy",37.47472222,-84.51194444
"ICanPlainlySee",27.96571282,-82.73894029
"AppaloosaGuy",37.47472222,-84.51194444
"jkruzel25",39.5009233,-119.8031418
"jkruzel25",39.5009232,-119.803145
"chukwuletadomax",6.5021181,3.3182234
"AppaloosaGuy",37.47472222,-84.51194444
"RifatAydin_RA",41.06838623,28.99238438
"DrSherryRoth",26.37779154,-80.07663304
"AppaloosaGuy",37.47472222,-84.51194444
"ChiLdish510",37.6558631,-122.4126421
"ChiLdish510",37.6558631,-122.4126421
"charliewakefie6",32.6968395,-97.6125655
"VeilleDeCM",48.8248736,2.2895991
"HappyBodyBySue",34.06796513,-118.39894584
"AppaloosaGuy",37.47472222,-84.51194444
"trendinaliaUS",38.8991,-77.029
"VeilleDeCM",48.8245161,2.2898386
"trendinaliaUS",38.8991,-77.029
"trendinaliaUS",38.8991,-77.029
"trendinaliaUS",38.8991,-77.029
"trendinaliaUS",38.8991,-77.029
"trendinaliaUS",38.8991,-77.029
"udevab",7.07810705,79.85773412
"ColumbusCP",39.96378925,-82.99527267
"SanFranciscoCP",37.78678264,-122.41487603
"trendinaliaUS",38.8991,-77.029
"AppaloosaGuy",37.47472222,-84.51194444
"NorthWiz",64.7079076,21.00379944
"AppaloosaGuy",37.47472222,-84.51194444
"ibornstar",28.64615,77.20965
"AppaloosaGuy",37.47472222,-84.51194444
"claudasaur",30.2672,-97.7639
"RTZReview",51.50711486,-0.12731805
"TheStarOfDaVi",40.76525607,-73.97924819
"Advertise_NG",6.40674257,3.40576172
"AkwaIbomBabe",6.5243793,3.3792057
"Aboikpa",6.5243793,3.3792057
"AppaloosaGuy",37.47472222,-84.51194444
"trendinaliaUS",38.8991,-77.029
"Pairsonnalites",49.1978055,-123.07050781
"AppaloosaGuy",37.47472222,-84.51194444
"BLifeMurphy",33.01779938,-96.62439728
"AppaloosaGuy",37.47472222,-84.51194444
"pairsonnalitesB",-23.55902666,-46.64960938
"JosephGourvenec",53.7442679,-1.59553911
"newyork24ore",40.77322938,-73.96105528
"AppaloosaGuy",37.47472222,-84.51194444
"NayifSalim",-3.8555979,39.4610465
"AppaloosaGuy",37.47472222,-84.51194444
"AppaloosaGuy",37.47472222,-84.51194444
